Parameter,Parameter description,Unit,Unit description
Location ,Location ,NA,
Site,Site name,NA,
Section,Core Section ID and number,NA,
Sample_ID,ICPMS subsample ID number ,NA,
Sample_thickness,Thickness of the sample slice,cm,
section_depth_top,Minimum section depth of sample,cm,
section_depth_bottom,Maximum section depth of sample,cm,
section_depth_mid,Midpoint section depth of sample,cm,
field_depth_top,Minimum field stratigraphic depth of sample,cm,
field_depth_bottom,Maximum field stratigraphic depth of sample,cm,
field_depth_mid,Midpoint field stratigraphic depth of sample,cm,
strat_depth_top,Minimum stratigraphic (modified) depth of sample,cm,
strat_depth_bottom,Maximum stratigraphic (modified) depth of sample,cm,
strat_depth_mid,Midpoint  stratigraphic (modified) depth of sample,cm,
depth,Depth used in age depth model ,cm,
SH20_min_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_max_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_median_age,Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20_mean_age,Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
accrate_cmyr-1,Peat accumulation rate,cm a^-1,cm per year
water_content_pc,Subsample percentage water content,%,percentage 
water_content_err,Subsample percentage water content error,%,percentage 
dry_mass_pc,Subsample percentage dry mass,%,percentage 
dry_mass_err,Subsample percentage dry mass error,%,percentage 
density_gcm3,Subsample dry density,g cm^-3,
density_gcm3_err,Subsample dry density error,g cm^-3,
Element_ICP,Measured subsample ICPMS data for each element,kg m^-3,
Element_ICP_sd,Measured subsample ICPMS error for each element,10^3 mg kg^-1,
SAR,Sediment acccumlation rate ,cm yr^-1,
SAR_err,Sediment acccumlation rate error,cm yr^-1,
SAR_err_pc,Sediment acccumlation rate error as a percentage ,%,percentage 
DMAR,Dry mass acccumlation rate ,g cm^2 yr^-1,
DMAR_err,Dry mass acccumlation rate error,g cm^2 yr^-1,
DMAR_pc,Dry mass acccumlation rate error as a percentage ,%,percentage 
