C:\Data\BAS2023_Mo_batch\MI1H__rep1     2023-08-24  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000000.spe	18.00	9.50	1	0.017517	-0.011353	0.009849	0.089277	1857	1.35	0.000	0.000	0.000	0.000	0.010	0.012	0.544	0.000	0.000	0.009	0.016	0.000	0.000	0.000	0.021	0.000	0.000	0.055	0.075	0.000	0.000	0.035	0.000	0.038	0.000	0.014	0.000	0.000	0.018	0.030	0.000	0.019	0.000	0.000	0.071	0.027	0.000	0.011	0.031	0.031	0.021	0.000	0.000	0.000	0.038	7.454	1.118	0.179	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000001.spe	19.00	9.50	1	0.017513	-0.011353	0.009835	0.089277	5648	2.41	0.000	0.000	0.000	0.054	0.058	0.022	0.658	0.000	0.019	0.063	0.088	0.000	0.000	0.045	0.183	0.108	0.120	0.169	0.088	0.070	0.030	0.038	0.000	0.086	0.060	0.021	0.034	0.031	0.014	0.101	0.123	0.094	0.047	0.000	0.277	0.168	0.055	0.051	0.085	0.000	0.066	0.074	0.000	0.024	0.103	26.832	3.664	0.217	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000002.spe	20.00	9.50	1	0.017512	-0.011353	0.009818	0.089277	16055	2.66	0.000	0.000	0.126	0.123	0.104	0.054	0.467	0.000	0.047	0.956	0.369	0.014	0.089	0.000	0.589	0.161	0.316	0.477	0.428	0.097	0.067	0.154	0.045	0.095	0.135	0.091	0.047	0.033	0.165	0.288	0.317	0.335	0.368	0.014	0.393	0.159	0.092	0.124	0.277	0.013	0.307	0.230	0.193	0.053	0.065	85.442	11.177	0.287	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000003.spe	21.00	4.99	1	0.017525	-0.011353	0.009818	0.089277	30400	1.39	0.000	0.012	0.043	0.126	0.085	0.051	0.330	0.000	0.270	5.864	0.591	0.323	0.107	0.000	1.315	0.435	0.374	0.416	1.325	0.089	0.067	0.112	0.045	0.092	0.123	0.075	0.014	0.027	0.668	0.427	0.450	0.635	0.811	0.000	0.000	0.000	0.237	0.275	0.849	0.493	0.204	0.239	0.615	0.282	0.381	164.326	23.055	0.339	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000004.spe	22.00	5.04	1	0.017523	-0.011353	0.009804	0.089277	36043	1.68	0.000	0.000	0.000	0.012	0.035	0.000	0.342	0.000	0.229	9.903	1.057	0.594	0.255	0.000	1.701	0.330	0.252	0.596	0.836	0.078	0.029	0.112	0.000	0.065	0.070	0.045	0.000	0.000	0.691	0.746	0.268	0.931	0.965	0.000	0.717	0.191	0.358	0.302	0.936	1.301	0.634	0.056	1.209	0.239	0.569	191.912	24.904	0.361	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000005.spe	23.00	5.13	1	0.017529	-0.011353	0.009729	0.089277	39400	1.38	0.000	0.103	0.069	0.172	0.089	0.027	0.354	0.000	0.247	13.306	1.132	0.759	0.257	0.000	2.115	0.417	0.062	0.151	1.043	0.120	0.085	0.066	0.000	0.094	0.087	0.089	0.045	0.000	1.323	0.592	0.038	0.726	1.010	0.000	0.000	0.000	0.218	0.501	1.379	1.349	0.553	0.107	1.569	0.409	0.469	205.575	26.355	0.371	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000006.spe	24.00	5.17	1	0.017528	-0.011353	0.009749	0.089277	39843	1.47	0.000	0.063	0.000	0.171	0.063	0.033	0.410	0.019	0.342	13.521	1.157	0.833	0.285	0.135	2.371	0.363	0.426	0.250	1.324	0.035	0.106	0.046	0.000	0.085	0.057	0.063	0.000	0.000	1.138	0.646	0.220	0.840	1.022	0.000	0.203	0.375	0.271	0.529	1.373	1.212	0.464	0.000	1.505	0.195	0.602	208.945	26.965	0.374	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000007.spe	25.00	5.20	1	0.017528	-0.011353	0.009749	0.089277	41326	1.47	0.000	0.013	0.044	0.065	0.048	0.027	0.271	0.050	0.408	17.139	1.042	0.582	0.261	0.000	2.395	0.155	0.513	0.613	1.549	0.079	0.068	0.176	0.043	0.100	0.065	0.052	0.054	0.072	1.243	0.534	0.055	0.855	0.834	0.000	0.639	0.362	0.213	0.440	1.497	1.250	0.654	0.000	1.248	0.026	0.065	215.126	27.871	0.381	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000008.spe	26.00	5.24	1	0.017530	-0.011353	0.009820	0.089277	40487	1.56	0.000	0.060	0.123	0.097	0.085	0.043	0.347	0.000	0.296	17.806	1.396	0.628	0.190	0.095	2.514	0.133	0.506	0.767	1.788	0.082	0.039	0.080	0.078	0.038	0.054	0.038	0.058	0.000	1.117	0.712	0.000	0.586	0.945	0.000	0.507	0.670	0.469	0.337	1.115	1.452	0.660	0.000	1.291	0.197	0.221	210.091	27.272	0.377	
C:\Data\BAS2023_Mo_batch\MI1H__rep1\XRF data\L000009.spe	27.00	5.23	1	0.017532	-0.011353	0.010014	0.089277	41386	1.47	0.000	0.114	0.076	0.116	0.126	0.000	0.451	0.000	0.364	17.836	1.407	0.736	0.159	0.000	2.651	0.000	0.589	0.591	1.176	0.065	0.078	0.082	0.000	0.114	0.069	0.042	0.000	0.000	1.431	0.841	0.000	0.840	1.118	0.000	0.510	1.040	0.428	0.547	0.993	1.550	0.655	0.351	1.335	0.409	0.789	217.070	29.261	0.383	
