C:\Data\BAS2023_Mo_batch\MI1H__xrf     2023-08-24  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000000.spe	18.00	9.50	1	0.017517	-0.011353	0.009852	0.089277	1944	1.32	0.000	0.000	0.000	0.000	0.013	0.019	0.513	0.000	0.000	0.035	0.000	0.012	0.000	0.015	0.000	0.087	0.000	0.020	0.000	0.000	0.000	0.047	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.032	0.077	0.050	0.018	0.000	0.037	0.000	0.013	0.017	0.016	0.000	0.028	0.000	0.000	0.051	0.000	8.214	1.166	0.184	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000001.spe	19.00	9.50	1	0.017513	-0.011353	0.009838	0.089277	5764	2.40	0.000	0.000	0.000	0.067	0.029	0.012	0.652	0.000	0.018	0.082	0.080	0.000	0.000	0.000	0.176	0.000	0.144	0.115	0.092	0.054	0.042	0.065	0.000	0.119	0.038	0.036	0.026	0.031	0.000	0.138	0.165	0.146	0.117	0.023	0.115	0.072	0.049	0.089	0.148	0.000	0.140	0.089	0.048	0.094	0.098	26.623	3.657	0.215	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000002.spe	20.00	9.50	1	0.017511	-0.011353	0.009821	0.089277	16277	2.81	0.000	0.000	0.032	0.180	0.085	0.100	0.609	0.000	0.061	0.963	0.355	0.026	0.000	0.000	0.446	0.000	0.474	0.190	0.670	0.086	0.072	0.188	0.000	0.172	0.162	0.065	0.122	0.047	0.107	0.346	0.158	0.290	0.266	0.083	0.000	0.838	0.130	0.105	0.270	0.121	0.068	0.000	0.023	0.062	0.221	89.791	11.193	0.290	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000003.spe	21.00	4.99	1	0.017524	-0.011353	0.009821	0.089277	30647	1.50	0.000	0.000	0.089	0.160	0.066	0.094	0.427	0.000	0.153	6.011	0.739	0.335	0.054	0.021	1.199	0.464	0.334	0.457	0.894	0.077	0.028	0.073	0.000	0.155	0.131	0.079	0.093	0.029	0.475	0.606	0.338	0.668	0.726	0.000	0.395	0.000	0.204	0.326	0.707	0.646	0.452	0.070	0.665	0.177	0.226	164.996	21.776	0.340	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000004.spe	22.00	5.04	1	0.017522	-0.011353	0.009808	0.089277	36476	1.63	0.000	0.092	0.078	0.092	0.117	0.000	0.270	0.000	0.275	10.206	0.957	0.680	0.073	0.000	1.840	0.000	0.609	0.118	1.629	0.051	0.095	0.019	0.057	0.056	0.097	0.052	0.022	0.015	0.716	0.522	0.314	0.795	1.001	0.195	0.684	0.350	0.161	0.531	0.952	1.049	0.475	0.250	1.152	0.311	0.492	193.263	26.051	0.361	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000005.spe	23.00	5.13	1	0.017522	-0.011353	0.009828	0.089277	39528	1.67	0.000	0.019	0.073	0.052	0.038	0.031	0.265	0.000	0.285	13.730	0.870	0.623	0.000	0.000	2.394	0.753	0.291	0.000	0.232	0.063	0.077	0.058	0.039	0.020	0.058	0.078	0.000	0.000	1.163	0.750	0.377	0.895	1.069	0.000	0.577	0.000	0.264	0.472	1.311	1.203	0.818	0.116	1.506	0.352	0.492	205.245	27.006	0.371	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000006.spe	24.00	5.17	1	0.017521	-0.011353	0.009828	0.089277	39973	1.48	0.000	0.036	0.021	0.127	0.135	0.030	0.274	0.045	0.234	13.738	0.913	0.580	0.187	0.000	2.258	0.499	0.742	0.017	1.345	0.085	0.131	0.025	0.121	0.086	0.051	0.105	0.063	0.000	0.774	0.607	0.327	0.820	0.970	0.000	0.421	0.000	0.209	0.470	1.269	1.028	0.754	0.028	1.390	0.483	0.589	210.988	28.686	0.376	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000007.spe	25.00	5.20	1	0.017519	-0.011353	0.009846	0.089277	41374	1.69	0.000	0.000	0.110	0.063	0.073	0.000	0.293	0.000	0.477	18.164	1.196	0.651	0.332	0.000	2.819	0.000	0.699	0.654	1.346	0.078	0.076	0.097	0.044	0.031	0.093	0.094	0.000	0.048	0.928	0.879	0.193	0.856	1.025	0.000	0.493	0.172	0.221	0.515	1.475	1.358	0.533	0.259	1.272	0.099	0.381	216.607	29.211	0.382	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000008.spe	26.00	5.24	1	0.017519	-0.011353	0.009823	0.089277	40547	1.73	0.000	0.000	0.000	0.000	0.127	0.045	0.387	0.000	0.346	17.274	1.215	0.811	0.211	0.000	2.186	0.631	0.487	0.604	1.604	0.082	0.089	0.091	0.000	0.157	0.093	0.035	0.028	0.000	1.135	0.575	0.182	0.751	1.002	0.000	0.080	0.000	0.339	0.454	1.424	1.182	0.856	0.222	1.355	0.310	0.396	213.539	28.395	0.377	
C:\Data\BAS2023_Mo_batch\MI1H__xrf\XRF data\L000009.spe	27.00	5.23	1	0.017521	-0.011353	0.009777	0.089277	41335	1.83	0.000	0.000	0.096	0.127	0.124	0.053	0.142	0.000	0.290	18.119	1.105	0.480	0.190	0.044	2.123	0.386	0.148	0.000	1.174	0.033	0.098	0.121	0.161	0.021	0.106	0.112	0.014	0.026	1.128	0.625	0.362	0.636	1.126	0.000	0.000	0.000	0.228	0.556	1.478	1.030	0.308	0.150	1.385	0.268	0.393	219.112	28.337	0.383	
