Parameter,Parameter description,Unit,Unit description
Location ,Location ,NA,
Site,Site name,NA,
Sample ,ICPSM subsample ID number ,NA,
Section,Core Section ID and number,NA,
ID,XRFCS spectra ID number,NA,
min_depth,Minimum stratigraphic depth of ICPMS subsample for import into R and for age-depth modelling,cm,
max_depth,Maximum stratigraphic depth of ICPMS subsample for import into R and for age-depth modelling,cm,
midpoint,Midpoint of min-max stratigraphic depth of ICPMS subsample for import into R and for age-depth modelling,cm,
SH20_min_depth_max,Minimum depth Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_min_depth_min,Minimum depth Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_min_depth_median,Minimum depth Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20_min_depth_mean,Minimum depth Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
SH20_max_depth_min,Maximum depth Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_max_depth_max,Maximum depth Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_max_depth_median_age,Maximum depth Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20_max_depth_mean,Maximum depth Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
SH20_midpoint_depth_min,Midpoint depth Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_midpoint_depth_max,Midpoint depth Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_midpoint_depth_median,Midpoint depth Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20__midpoint_depth_mean,Midpoint depth Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
kcps,Impedance Saturated calibration,kcps,thousands of counts per second
cps,Fractional Porosity Saturated calibration,cps,counts per second
Elements,Mean XRFCS  cps across matched depth range for each element shown ,cps,counts per second
Mo_inc,Mean Molydenum (Mo) X-ray Tube incoherent scatter counts across depth range,cps,counts per second
Mo_coh,Mean Molydenum (Mo) X-ray Tube coherent scatter counts across depth range,cps,counts per second
coh_inc,Mean Coherent/incoherent ratio across depth range,NA,
Chemical elements_sd,Std Dev of matched XRFCS data ,cps,counts per second
Mo_inc_sd,Std dev Molydenum (Mo) X-ray Tube incoherent scatter counts across depth range,cps,counts per second
Mo_coh_sd,Std dev Molydenum (Mo) X-ray Tube coherent scatter counts across depth range,cps,counts per second
coh_inc_sd,Std dev Coherent/incoherent ratio across depth range,cps,counts per second
water_content_pc,Subsample percentage water content,%,percentage 
water_content_err,Subsample percentage water content error,%,percentage 
dry_mass_pc,Subsample percentage dry mass,%,percentage 
dry_mass_err,Subsample percentage dry mass error,%,percentage 
density_gcm3,Subsample dry density,g cm^-3,
density_gcm3_err,Subsample dry density error,g cm^-3,
Element_ICP,Measured subsample ICPMS data for each element,kg m^-3,
Element_ICP_sd,Measured subsample ICPMS error for each element,10^3 mg kg^-1,
SAR,Sediment acccumlation rate ,cm yr^-1,
SAR_err,Sediment acccumlation rate error,cm yr^-1,
SAR_err_pc,Sediment acccumlation rate error as a percentage ,%,percentage 
DMAR,Dry mass acccumlation rate ,g cm^2 yr^-1,
DMAR_err,Dry mass acccumlation rate error,g cm^2 yr^-1,
DMAR_pc,Dry mass acccumlation rate error as a percentage ,%,percentage 
