"Site","Element","Model","R2","RMSE","RMSE_ppm","RMSEP","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","Roughness_norm","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Confidence_Flag","Unstable_flag","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model","Rank_site","Robustness_score_site","n_mean","R2_overall","RMSE_overall","RMSEP_overall"
"ALL","Sr","WLS_weighted",0.605197017350042,0.38880693583257,61.616501941787,NA,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,0.0941323982448324,0.392052812567841,0.174700469506317,0.212811409679503,7,7,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.489657473355962,0.672037080636319,0.155268803068285,0.155268803068285,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","WLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0941323982448324,0.685071402550028,NA,0.212811409679503,NA,7,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,7,0.330507999966911,14005,0.605197017350042,0.38880693583257,61.616501941787
"ALL","Sr","OLS_weighted",0.588442221601662,0.396971381054182,68.563181097856,NA,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,0,0.34522506307729,0,0.103567518923187,8,8,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.489657473355962,0.672037080636319,0.103567518923187,0.103567518923187,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083243662015412,0.537515896738383,NA,0.23565984712543,NA,6,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,8,0.2649525559046,14005,0.605899324973479,0.388460961218056,59.3656290640811
"ALL","Ti","PLS_LOO",0.756227776634957,0.607666319730726,1919.97750377683,0.620336808479536,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.5294983040467,0.457077270589932,0.840792000457897,1,1,"Preferred 1","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.666118384525011,0.800144234795754,0.79452451960984,0.853161904249357,TRUE,NA,NA,NA,NA,NA,NA
"ALL","Ti","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813202921947396,1,NA,0.467170786497582,NA,6,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,1,0.887921753168437,13757,0.737139589077221,0.631009137231014,1647.90252563752
"ALL","Ti","PLS_kfold",0.756227776634957,0.607666319730726,1919.97750377683,0.620336808479536,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.5294983040467,0.457077270589932,0.840792000457897,2,2,"Acceptable 2","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.666118384525011,0.800144234795754,0.79452451960984,0.853161904249357,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985781032588366,0.443806756539711,NA,0.840792000457897,NA,1,"Preferred 1",NA,NA,"High confidence (signal-dominated)",NA,FALSE,NA,NA,NA,NA,NA,2,0.768991322168904,13757,0.756227776634957,0.607666319730726,1919.97750377683
"ALL","Ti","OLS",0.729930592021033,0.639603384224678,2035.54425020404,0.644447515724916,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,0.919262770647259,0.963613516613628,0.221554724916626,0.743637270225016,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.647980042492791,0.783176150339138,0.656789163242992,0.733582618514229,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985781032588366,0.443806756539711,NA,0.840792000457897,NA,2,"Acceptable 2",NA,NA,"High confidence (signal-dominated)",NA,FALSE,NA,NA,NA,NA,NA,3,0.768991322168904,13757,0.756227776634957,0.607666319730726,1919.97750377683
"ALL","Ti","Bayes",0.757847910218222,0.605643649083077,2132.72586760655,0.617880211717454,2140.41045976442,6361.9847129266,1.00360317857752,0.68510833898267,4.89905519927455,889.691706260365,1,0.0283079433120716,1,0.708492382993621,4,4,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.670524969765554,0.799989588472668,0.708492382993621,0.706458089050811,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4120150721951,NA,0.708492382993621,NA,4,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,4,0.76480602887804,13757,0.757847910218222,0.605643649083077,2132.72586760655
"ALL","Ti","OLS_weighted",0.718555763474536,0.652933928562262,2173.73266969499,NA,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,0.903344090207377,1,0.267216314797081,0.661337636082951,5,5,"Unstable","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.647980042492791,0.783176150339138,0.661337636082951,0.738131091354188,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","OLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919262770647259,0.156305663053533,NA,0.743637270225016,NA,3,"Acceptable 3",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,5,0.614079927609769,14219,0.729930592021033,0.639603384224678,2035.54425020404
"ALL","Ti","RF",0.737139589077221,0.631009137231014,1647.90252563752,0.624680929647959,2144.13444529326,6762.98370805478,1.30112941265368,0.589126672290205,4.85037700172676,821.431836177017,0.813202921947396,0,0.731575089254762,0.467170786497582,6,6,"Unstable","Unstable","Low confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.651065071739218,0.777338338386351,0.366332921252179,0.325281168778958,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903344090207377,0,NA,0.661337636082951,NA,5,"Unstable",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,6,0.542006454124426,14219,0.718555763474536,0.652933928562262,2173.73266969499
"ALL","Ti","WLS_weighted",0.72919658362992,0.640471967780676,1893.08238585334,NA,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,0.018809767306703,0.931299876018888,0.0267208387128946,0.368157739335141,7,7,"Unstable","Marginal","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.647980042492791,0.783176150339138,0.286913869728348,0.363707324999585,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.768050491073074,NA,0.356894570181163,NA,8,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,7,0.307220196429229,14219,0.728935134347202,0.640781067535794,1882.89538666468
"ALL","Ti","WLS",0.728935134347202,0.640781067535794,1882.89538666468,NA,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,0,0.92548965174034,0,0.356894570181163,8,8,"Unstable","Marginal","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.647980042492791,0.783176150339138,0.277646895522102,0.354440350793339,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ti","WLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018809767306703,0.686380478647564,NA,0.368157739335141,NA,7,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,8,0.285838051843047,14219,0.72919658362992,0.640471967780676,1893.08238585334
"ALL","Zr","OLS",0.608456680906178,0.822327315016661,148.16046066862,0.829368800202076,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,85.6250432960216,1,1,0.797697435649494,0.881052876763792,1,1,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.528841519099038,0.653437468116439,0.7,0.7,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523808211297953,1,NA,0.759702310441133,NA,3,"Acceptable 3",NA,NA,"High confidence (signal-dominated)",NA,FALSE,NA,NA,NA,NA,NA,1,0.714284926778772,13757,0.744624310661954,0.664116978438206,47.763991633004
"ALL","Zr","WLS_weighted",0.608229412035276,0.822565937768544,162.575252795128,NA,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,94.081024048633,0.7409938656634,0.975892299015989,0.90862166453831,0.770019585533002,2,2,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.528841519099038,0.653437468116439,0.589165235970157,0.589165235970157,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935087433460112,0.289223429925846,NA,0.654203921526356,NA,7,"Unstable",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,2,0.676741832046406,13757,0.7219222288162,0.693007515213175,84.3816359771264
"ALL","Zr","RF",0.744624310661954,0.664116978438206,47.763991633004,0.675449546082181,40.8009743967394,138.859980572686,0.854220365630974,0.435591486819081,2.43749261491097,24.814936885269,0.523808211297953,0.833930086406507,0,0.759702310441133,3,3,"Acceptable 3","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.650956013976062,0.766047255142004,0.759702310441133,0.759702310441133,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856824502964999,0.361599553800799,NA,0.706487262772948,NA,4,"Acceptable 4",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,3,0.658734523299319,13757,0.72037835645274,0.69492862207945,77.8910261396823
"ALL","Zr","PLS_LOO",0.72037835645274,0.69492862207945,77.8910261396823,0.711474071275561,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,0.856824502964999,0.283123797424938,0.386046756906056,0.706487262772948,4,4,"Acceptable 4","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.623568769711589,0.756258896754447,0.66038440128808,0.701590099369457,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856824502964999,0.361599553800799,NA,0.706487262772948,NA,5,"Unstable",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,4,0.658734523299319,13757,0.72037835645274,0.69492862207945,77.8910261396823
"ALL","Zr","PLS_kfold",0.72037835645274,0.69492862207945,77.8910261396823,0.711474071275561,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,0.856824502964999,0.283123797424938,0.386046756906056,0.706487262772948,5,5,"Unstable","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.623568769711589,0.756258896754447,0.66038440128808,0.701590099369457,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","OLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0408925539520257,NA,0.881052876763792,NA,1,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,5,0.61635702158081,14519,0.608456680906178,0.822327315016661,148.16046066862
"ALL","Zr","WLS",0.608323185716187,0.822467487738816,159.077231156446,NA,53.6040944885685,577.090663848485,0.336968993606954,0.402422891988473,2.52358951610789,92.025463096561,0.483921609416238,0.981545106554268,0.881657138457509,0.668968439841682,6,6,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.528841519099038,0.653437468116439,0.488032175732776,0.488032175732776,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","WLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7409938656634,0.0105690988222861,NA,0.770019585533002,NA,2,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,6,0.448823958926955,14519,0.608229412035276,0.822565937768544,162.575252795128
"ALL","Zr","Bayes",0.7219222288162,0.693007515213175,84.3816359771264,0.70718613446717,45.422868267256,164.996573779594,0.538302768620994,0.777599911668075,1.95110040236637,65.7584412575279,0.935087433460112,0,0.53709046689778,0.654203921526356,7,7,"Unstable","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.634646454317492,0.757423994564706,0.633967101814021,0.651062030787129,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483921609416238,0.0174415413357488,NA,0.668968439841682,NA,6,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,7,0.297329582184042,14519,0.608323185716187,0.822467487738816,159.077231156446
"ALL","Zr","OLS_weighted",0.401191970178938,1.01694769214115,153.784821913486,NA,42.0668288564161,34663157.0601033,0.273543437726784,7.0672435446541e-06,2.42434726515991,101.046981383745,0,0.81139209675327,1,0.243417629025981,8,8,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",TRUE,FALSE,0.528841519099038,0.653437468116439,0.243417629025981,0.243417629025981,NA,NA,NA,NA,NA,NA,NA
"ALL","Zr","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.243417629025981,NA,8,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,8,0,14519,0.401191970178938,1.01694769214115,153.784821913486
"BI10","Ca","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868458374801672,0.989034686350044,NA,0.588405803230984,NA,5,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,1,0.916688899421021,5017,0.60078407376705,0.449611220751241,5620.88386479327
"BI10","Ca","OLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693993386198165,0.950521263751669,NA,0.520511230722479,NA,6,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,2,0.796604537219567,5017,0.605349695781694,0.447032844459699,5504.63271481712
"BI10","Ca","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684897003192764,0.886745294475947,NA,0.638537096368868,NA,2,"Acceptable 2",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,3,0.765636319706037,4709,0.605172814508826,0.447133012734933,5921.70892622602
"BI10","Ca","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684897003192764,0.886745294475947,NA,0.638537096368868,NA,3,"Acceptable 3",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,4,0.765636319706037,4709,0.605172814508826,0.447133012734933,5921.70892622602
"BI10","Ca","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743598687156478,0.694469393239886,NA,0.634509260499655,NA,4,"Acceptable 4",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,5,0.723946969589841,4709,0.636884102731344,0.428801053115093,5546.07861545861
"BI10","Ca","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0.642410341669775,NA,1,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,6,0.6,4709,0.682203721520104,0.401150756423534,4911.79054471344
"BI10","Ca","WLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00498875364089678,0.998287957727436,NA,0.205925410630512,NA,7,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,7,0.402308435275512,5017,0.604732452698864,0.447382293228408,5447.03371534874
"BI10","Ca","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0.203490077962097,NA,8,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,8,0.4,5017,0.604685117514639,0.447409080513934,5446.04597912254
"BI10","Sr","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876666897328634,0.919832342138178,NA,0.715434657119346,NA,2,"Acceptable 2",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,1,0.893933075252452,4709,0.619560933054721,0.381668523678026,58.9814163562467
