Parameter,Parameter description,Unit,Unit description
Location ,Location ,NA,
Site,Site name,NA,
Type,Type of record,NA,
Section,Core Section number,NA,
MSCL_ID,Multi Sensor Core Logger ID number,NA,
RCT,Reference Core Thickness,cm,
SB_DEPTH,Machine depth ,cm,
SECT_NUM,Section Number,NA,
SECT_DEPTH,Section Depth,cm,
Core_depth_min,Core depth - minimum depth,cm,
Field_depth_min,Field depth - minimum depth,cm,
depth,Stratigraphic depth,cm,
SH20_min_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_max_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_median_age,Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20_mean_age,Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
Accum_rate,Accumulation rate,cm a^-1,cm per year
Core_thickness,Core thickness,cm,
PWave_Amp_SAT,P Wave amplitude Saturated calibration ,NA,
PWave_Vel_SAT,P Wave velocity Saturated calibration,m s^-1,
Den1_SAT,Gamma Ray Density (GRD) Saturated calibration ,g cm^-3,
MS1_SAT,Magnetic Susceptibility Saturated calibration,SI x 10^-5,
DCMS1_SAT,Density corrected Magnetic Susceptibility Saturated calibration,x 10^-8 (m^3 kg^-1),
Impedance_SAT,Impedance Saturated calibration,NA,
Fract_Porosity_SAT,Fractional Porosity Saturated calibration,NA,
Resistivity_SAT,Resistvity Saturated calibration,Ohm.m,
PWaveAmp_UNSAT,P Wave amplitude Unsaturated calibration ,NA,
PWaveVel_UNSAT,P Wave velocity Unsaturated calibration,m s^-1,
Den1_UNSAT,Gamma Ray Density (GRD) Unsaturated calibration ,g cm^-3,
MS1_UNSAT,Magnetic Susceptibility Unsaturated calibration,SI x 10^-5,
DCMS1_UNSAT,Density corrected Magnetic Susceptibility Unsaturated calibration,x 10^-8 (m^3 kg^-1),
Impedance_UNSAT,Impedance Unsaturated calibration,NA,
Fract_Porosity_UNSAT,Fractional Porosity Unsaturated calibration,NA,
Resistivity_UNSAT,Resistvity Unsaturated calibration,Ohm.m,
PWaveAmp_SAT_UNSAT,P Wave amplitude Mean Saturated-Unsaturated calibration ,NA,
PWaveVel_SAT_UNSAT,P Wave velocity Mean Saturated-Unsaturated calibration,m s^-1,
Den1_SAT_UNSAT,Gamma Ray Density (GRD) Mean Saturated-Unsaturated calibration ,g cm^-3,
MS1_SAT_UNSAT,Magnetic Susceptibility Mean Saturated-Unsaturated calibration,SI x 10^-5,
DCMS1_SAT_UNSAT,Density corrected Magnetic Susceptibility Mean Saturated-Unsaturated calibration,x 10^-8 (m^3 kg^-1),
Impedance_SAT_UNSAT,Impedance Mean Saturated-Unsaturated calibration,NA,
Fract_Porosity_SAT_UNSAT,Fractional Porosity Mean Saturated-Unsaturated calibration,NA,
Resistivity_SAT_UNSAT,Resistvity Mean Saturated-Unsaturated calibration,Ohm.m,
Conductivity,Conductivity,Sm^-1,
Salinity,Salinity,g l^-1,
WMAR_SAT,Wet Mass Accumulation Rate Saturated calibration,g cm^-2  a^-1,
WMAR_UNSAT,Wet Mass Accumulation Rate Unsaturated calibration,g cm^-2  a^-1,
WMAR_Mean,Wet Mass Accumulation Rate Saturated-Unsaturated calibration,g cm^-2  a^-1,
